split_strategy,representation,model,validation_fold,train_rows,validation_rows,true_label,predicted_label,count
grouped,combined,logistic_regression_balanced,3,26295,8765,ethnicity,not_cyberbullying,7
grouped,combined,logistic_regression_balanced,3,26295,8765,ethnicity,other_cyberbullying,13
grouped,combined,logistic_regression_balanced,3,26295,8765,ethnicity,religion,0
grouped,combined,logistic_regression_balanced,3,26295,8765,gender,age,0
grouped,combined,logistic_regression_balanced,3,26295,8765,gender,ethnicity,5
grouped,combined,logistic_regression_balanced,3,26295,8765,gender,gender,1309
grouped,combined,logistic_regression_balanced,3,26295,8765,gender,not_cyberbullying,116
grouped,combined,logistic_regression_balanced,3,26295,8765,gender,other_cyberbullying,87
grouped,combined,logistic_regression_balanced,3,26295,8765,gender,religion,5
grouped,combined,logistic_regression_balanced,3,26295,8765,not_cyberbullying,age,24
grouped,combined,logistic_regression_balanced,3,26295,8765,not_cyberbullying,ethnicity,9
grouped,combined,logistic_regression_balanced,3,26295,8765,not_cyberbullying,gender,53
grouped,combined,logistic_regression_balanced,3,26295,8765,not_cyberbullying,not_cyberbullying,849
grouped,combined,logistic_regression_balanced,3,26295,8765,not_cyberbullying,other_cyberbullying,283
grouped,combined,logistic_regression_balanced,3,26295,8765,not_cyberbullying,religion,45
grouped,combined,logistic_regression_balanced,3,26295,8765,other_cyberbullying,age,20
grouped,combined,logistic_regression_balanced,3,26295,8765,other_cyberbullying,ethnicity,3
grouped,combined,logistic_regression_balanced,3,26295,8765,other_cyberbullying,gender,52
grouped,combined,logistic_regression_balanced,3,26295,8765,other_cyberbullying,not_cyberbullying,187
grouped,combined,logistic_regression_balanced,3,26295,8765,other_cyberbullying,other_cyberbullying,941
grouped,combined,logistic_regression_balanced,3,26295,8765,other_cyberbullying,religion,5
grouped,combined,logistic_regression_balanced,3,26295,8765,religion,age,1
grouped,combined,logistic_regression_balanced,3,26295,8765,religion,ethnicity,1
grouped,combined,logistic_regression_balanced,3,26295,8765,religion,gender,6
grouped,combined,logistic_regression_balanced,3,26295,8765,religion,not_cyberbullying,38
grouped,combined,logistic_regression_balanced,3,26295,8765,religion,other_cyberbullying,13
grouped,combined,logistic_regression_balanced,3,26295,8765,religion,religion,1536
grouped,combined,logistic_regression_balanced,4,26295,8765,age,age,1571
grouped,combined,logistic_regression_balanced,4,26295,8765,age,ethnicity,0
grouped,combined,logistic_regression_balanced,4,26295,8765,age,gender,1
grouped,combined,logistic_regression_balanced,4,26295,8765,age,not_cyberbullying,12
grouped,combined,logistic_regression_balanced,4,26295,8765,age,other_cyberbullying,8
grouped,combined,logistic_regression_balanced,4,26295,8765,age,religion,0
grouped,combined,logistic_regression_balanced,4,26295,8765,ethnicity,age,2
grouped,combined,logistic_regression_balanced,4,26295,8765,ethnicity,ethnicity,1562
grouped,combined,logistic_regression_balanced,4,26295,8765,ethnicity,gender,0
grouped,combined,logistic_regression_balanced,4,26295,8765,ethnicity,not_cyberbullying,5
grouped,combined,logistic_regression_balanced,4,26295,8765,ethnicity,other_cyberbullying,12
grouped,combined,logistic_regression_balanced,4,26295,8765,ethnicity,religion,3
grouped,combined,logistic_regression_balanced,4,26295,8765,gender,age,4
grouped,combined,logistic_regression_balanced,4,26295,8765,gender,ethnicity,2
grouped,combined,logistic_regression_balanced,4,26295,8765,gender,gender,1293
grouped,combined,logistic_regression_balanced,4,26295,8765,gender,not_cyberbullying,105
grouped,combined,logistic_regression_balanced,4,26295,8765,gender,other_cyberbullying,115
grouped,combined,logistic_regression_balanced,4,26295,8765,gender,religion,4
grouped,combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,age,40
grouped,combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,ethnicity,8
grouped,combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,gender,34
grouped,combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,not_cyberbullying,833
grouped,combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,other_cyberbullying,291
grouped,combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,religion,57
