split_strategy,representation,model,validation_fold,train_rows,validation_rows,label,precision,recall,f1,support
grouped,combined,logistic_regression_balanced,1,26295,8765,age,0.970495919648462,0.9711055276381909,0.9708006279434851,1592
grouped,combined,logistic_regression_balanced,2,26295,8765,age,0.9645301804604853,0.9736180904522613,0.9690528290090653,1592
grouped,combined,logistic_regression_balanced,3,26295,8765,age,0.9701678060907396,0.9799121155053359,0.9750156152404748,1593
grouped,combined,logistic_regression_balanced,4,26295,8765,age,0.9614443084455324,0.9868090452261307,0.9739615623062616,1592
grouped,combined,logistic_regression_balanced,1,26295,8765,ethnicity,0.9904153354632588,0.9785353535353535,0.9844395046046364,1584
grouped,combined,logistic_regression_balanced,2,26295,8765,ethnicity,0.989192625556262,0.9823232323232324,0.9857459613557175,1584
grouped,combined,logistic_regression_balanced,3,26295,8765,ethnicity,0.9873417721518988,0.9848484848484849,0.9860935524652339,1584
grouped,combined,logistic_regression_balanced,4,26295,8765,ethnicity,0.9892336922102597,0.9861111111111112,0.9876699336073348,1584
grouped,combined,logistic_regression_balanced,1,26295,8765,gender,0.9344501092498179,0.842969776609724,0.8863557858376512,1522
grouped,combined,logistic_regression_balanced,2,26295,8765,gender,0.9248389405869721,0.8488830486202366,0.8852346694073313,1522
grouped,combined,logistic_regression_balanced,3,26295,8765,gender,0.9211822660098522,0.8600525624178712,0.889568467550119,1522
grouped,combined,logistic_regression_balanced,4,26295,8765,gender,0.9349240780911063,0.8489822718319107,0.8898830006882312,1523
grouped,combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,0.6844583987441131,0.6909667194928685,0.6876971608832808,1262
grouped,combined,logistic_regression_balanced,2,26295,8765,not_cyberbullying,0.6895986895986896,0.6666666666666666,0.677938808373591,1263
grouped,combined,logistic_regression_balanced,3,26295,8765,not_cyberbullying,0.6999175597691674,0.672209026128266,0.68578352180937,1263
grouped,combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,0.7047377326565144,0.6595407759303247,0.6813905930470348,1263
grouped,combined,logistic_regression_balanced,1,26295,8765,other_cyberbullying,0.7015250544662309,0.7990074441687345,0.7470997679814385,1209
grouped,combined,logistic_regression_balanced,2,26295,8765,other_cyberbullying,0.681655960028551,0.7899090157154673,0.7318007662835249,1209
grouped,combined,logistic_regression_balanced,3,26295,8765,other_cyberbullying,0.697037037037037,0.7789735099337748,0.7357310398749023,1208
grouped,combined,logistic_regression_balanced,4,26295,8765,other_cyberbullying,0.679136690647482,0.7814569536423841,0.7267128560431101,1208
grouped,combined,logistic_regression_balanced,1,26295,8765,religion,0.9627289955780164,0.9548872180451128,0.9587920729789242,1596
grouped,combined,logistic_regression_balanced,2,26295,8765,religion,0.9591315453384419,0.941692789968652,0.9503321733628598,1595
grouped,combined,logistic_regression_balanced,3,26295,8765,religion,0.964824120603015,0.9630094043887147,0.9639159083777847,1595
grouped,combined,logistic_regression_balanced,4,26295,8765,religion,0.954915466499687,0.9561128526645768,0.9555137844611529,1595
random_stratified,combined,logistic_regression_balanced,1,26295,8765,age,0.9646621202727836,0.9773869346733668,0.9709828393135725,1592
random_stratified,combined,logistic_regression_balanced,2,26295,8765,age,0.9735849056603774,0.9723618090452262,0.972972972972973,1592
random_stratified,combined,logistic_regression_balanced,3,26295,8765,age,0.9694704049844237,0.9773869346733668,0.9734125742883953,1592
