metric,grouped,random_stratified,random_minus_grouped
macro_f1_mean,0.8702720818121882,0.8714433128902966,0.001171231078108459
balanced_accuracy_mean,0.8707742915360577,0.8719384997040831,0.0011642081680254268
mcc_mean,0.8584533353089014,0.8598211922639366,0.0013678569550351627
accuracy_mean,0.8819737592698231,0.8830861380490588,0.0011123787792356454
