split_strategy,representation,model,label,precision_mean,recall_mean,f1_mean,support_total
grouped,combined,logistic_regression_balanced,age,0.9666595536613048,0.9778611947054797,0.9722076586248217,6369
grouped,combined,logistic_regression_balanced,ethnicity,0.9890458563454199,0.9829545454545454,0.9859872380082306,6336
grouped,combined,logistic_regression_balanced,gender,0.9288488484844372,0.8502219148699356,0.8877604808708331,6089
grouped,combined,logistic_regression_balanced,not_cyberbullying,0.6946780951921211,0.6723457970545315,0.6832025210283191,5051
grouped,combined,logistic_regression_balanced,other_cyberbullying,0.6898386855448253,0.7873367308650902,0.735336107545744,4834
grouped,combined,logistic_regression_balanced,religion,0.9604000320047901,0.9539255662667641,0.9571384847951804,6381
random_stratified,combined,logistic_regression_balanced,age,0.9684364608794889,0.9772327582671676,0.9728041140783554,6369
random_stratified,combined,logistic_regression_balanced,ethnicity,0.988251345896469,0.9820075757575757,0.9851172267272389,6336
random_stratified,combined,logistic_regression_balanced,gender,0.9328620301090695,0.8553129284393569,0.8923341347147802,6089
random_stratified,combined,logistic_regression_balanced,not_cyberbullying,0.6988131003846603,0.6713535804495372,0.6847298298656562,5051
random_stratified,combined,logistic_regression_balanced,other_cyberbullying,0.687978367419446,0.7908571680936026,0.7357326730493053,4834
random_stratified,combined,logistic_regression_balanced,religion,0.961043040508412,0.9548669872172595,0.9579418989064433,6381
