split_strategy,representation,model,validation_fold,train_rows,validation_rows,macro_f1,balanced_accuracy,mcc,accuracy,log_loss,multiclass_brier
grouped,combined,logistic_regression_balanced,1,26295,8765,0.8725308200382361,0.872912006581664,0.8599315065245345,0.8831717056474615,0.34992155061062263,0.1741143868238758
grouped,combined,logistic_regression_balanced,2,26295,8765,0.8666842012986816,0.8671821406244193,0.8539106585468159,0.8781517398745009,0.35528253932966575,0.1770268991900728
grouped,combined,logistic_regression_balanced,3,26295,8765,0.8726846842196473,0.8731675172037413,0.8618097906176847,0.8848830576155162,0.33920696682814155,0.16986852414379644
grouped,combined,logistic_regression_balanced,4,26295,8765,0.8691886216921877,0.8698355017344062,0.8581613855465704,0.881688533941814,0.3481033120599362,0.17357468055353148
random_stratified,combined,logistic_regression_balanced,1,26295,8765,0.8725997624243828,0.8729266690826926,0.861081931167242,0.884312606959498,0.3421062720286096,0.1710575089114438
random_stratified,combined,logistic_regression_balanced,2,26295,8765,0.8684752049140646,0.8689677891101321,0.8564462949724073,0.8802053622361665,0.3551647245586252,0.17596433482276602
random_stratified,combined,logistic_regression_balanced,3,26295,8765,0.8678059299102115,0.8682971567827907,0.8554137252123624,0.879406731317741,0.35202954170646505,0.17584438338384706
random_stratified,combined,logistic_regression_balanced,4,26295,8765,0.8768923543125275,0.8775623838407173,0.8663428177037349,0.8884198516828294,0.33821994983436116,0.16720021699590454
