split_strategy,representation,model,validation_fold,train_rows,validation_rows,elapsed_seconds,fitted_train_rows,feature_count,train_matrix_mib,validation_matrix_mib
grouped,combined,logistic_regression_balanced,1,26295,8765,25.185095750028268,26295,120000,78.69733810424805,25.781169891357422
grouped,combined,logistic_regression_balanced,2,26295,8765,24.18369791697478,26295,120000,78.58270263671875,25.891204833984375
grouped,combined,logistic_regression_balanced,3,26295,8765,24.081122374976985,26295,120000,78.53810501098633,25.93842315673828
grouped,combined,logistic_regression_balanced,4,26295,8765,25.047215749975294,26295,120000,78.58053970336914,25.893756866455078
random_stratified,combined,logistic_regression_balanced,1,26295,8765,23.105264417012222,26295,120000,78.46084594726562,26.019058227539062
random_stratified,combined,logistic_regression_balanced,2,26295,8765,23.964146958023775,26295,120000,78.77042007446289,25.70775604248047
random_stratified,combined,logistic_regression_balanced,3,26295,8765,24.022159124957398,26295,120000,78.94187545776367,25.539836883544922
random_stratified,combined,logistic_regression_balanced,4,26295,8765,24.34316462505376,26295,120000,78.21256637573242,26.260276794433594
