cyberbullying_type,row_count,url_count_total,url_count_mean,user_mention_count_total,user_mention_count_mean,hashtag_count_total,hashtag_count_mean,emoji_presence_count,emoji_presence_rate,uppercase_ratio_mean,punctuation_count_total,punctuation_count_mean,repeated_character_count_total,repeated_character_count_mean
age,7992,204,0.025525525525525526,516,0.06456456456456457,736,0.0920920920920921,3,0.00037537537537537537,0.04605931317133332,39455,4.936811811811812,1373,0.1717967967967968
ethnicity,7961,350,0.04396432608968723,4885,0.6136163798517774,1095,0.1375455344805929,5,0.0006280618012812461,0.1246898260247,51259,6.438763974375078,2250,0.2826278105765607
gender,7973,860,0.1078640411388436,4525,0.5675404490154271,2686,0.3368869936034115,67,0.008403361344537815,0.07451909336921803,54389,6.821648062209959,1750,0.21949078138718173
religion,7998,558,0.06976744186046512,4140,0.5176294073518379,1794,0.2243060765191298,5,0.000625156289072268,0.06912695007265485,56848,7.107776944236059,1660,0.207551887971993
other_cyberbullying,7823,1384,0.17691422727853764,6716,0.85849418381695,1620,0.20708168221909753,136,0.017384635050492137,0.0998047573589768,41683,5.32826281477694,1040,0.1329413268567046
not_cyberbullying,7945,1198,0.15078665827564505,6154,0.7745752045311517,3269,0.41145374449339206,224,0.028193832599118944,0.10041227577696449,40053,5.041283826305853,1332,0.16765261170547513
