cyberbullying_type,row_count,class_percentage
age,7992,16.757527467919147
ethnicity,7961,16.692527048561605
gender,7973,16.717688501216138
religion,7998,16.770108194246415
other_cyberbullying,7823,16.40317034303447
not_cyberbullying,7945,16.65897844502223
