representation,model,validation_fold,train_rows,validation_rows,macro_f1,balanced_accuracy,mcc
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,0.8306040542301064,0.8320328413979271,0.8164467077380994
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,0.8299568158998252,0.8314407553568745,0.8154796412987443
all_minilm_l6_v2,linear_svm_c0_5,3,26295,8765,0.8317359818964819,0.8331273301515808,0.817929104319371
all_minilm_l6_v2,linear_svm_c0_5,4,26295,8765,0.815628026405519,0.8175655820472582,0.8012386364475418
all_minilm_l6_v2,logistic_regression_c1_balanced,1,26295,8765,0.827132939185787,0.8271604050307091,0.8081791964944528
all_minilm_l6_v2,logistic_regression_c1_balanced,2,26295,8765,0.828255880875814,0.8287675400208409,0.8104699043970089
all_minilm_l6_v2,logistic_regression_c1_balanced,3,26295,8765,0.8291659894889901,0.8295160583627785,0.8117572956084267
all_minilm_l6_v2,logistic_regression_c1_balanced,4,26295,8765,0.8182943268503365,0.818779269883586,0.7999436187855774
