preprocessing,model,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std
p1,linear_svm,0.8511692094327261,0.004476018448683721,0.8521474737615656,0.004375344119211466,0.8401362011257603,0.004697888471342127
p2,logistic_regression,0.8503600756455357,0.00532929998632555,0.8511713105238137,0.005351252980920376,0.8379493140612616,0.005839657799561112
p1,logistic_regression,0.8501455732910839,0.005028282538175928,0.851135289323718,0.004902562833759196,0.8380180116927509,0.005563856582572324
p2,linear_svm,0.8483827310026573,0.004471168854940048,0.8490635901206834,0.004507509858357616,0.8362447714338457,0.0052919565411561195
p0,linear_svm,0.8482310157120361,0.004113525989770875,0.8492092026586374,0.004172390891238597,0.8367841385096337,0.004767148738718545
p0,logistic_regression,0.8456446741112682,0.006701811430081157,0.8465770423850655,0.006768999555948031,0.8325928161474921,0.007385478405221535
