preprocessing,model,validation_fold,train_rows,validation_rows,label,precision,recall,f1,support
p0,linear_svm,1,26295,8765,age,0.941318814277072,0.9773869346733668,0.9590138674884437,1592
p0,linear_svm,2,26295,8765,age,0.9476248477466505,0.9773869346733668,0.9622758194186766,1592
p0,linear_svm,3,26295,8765,age,0.9542124542124543,0.9811676082862524,0.9675023212627669,1593
p0,linear_svm,4,26295,8765,age,0.9413524835427888,0.9880653266331658,0.9641434262948207,1592
p0,linear_svm,1,26295,8765,ethnicity,0.9656679151061174,0.9766414141414141,0.9711236660389203,1584
p0,linear_svm,2,26295,8765,ethnicity,0.9585396039603961,0.9779040404040404,0.968125,1584
p0,linear_svm,3,26295,8765,ethnicity,0.9706982543640897,0.9829545454545454,0.9767879548306148,1584
p0,linear_svm,4,26295,8765,ethnicity,0.973208722741433,0.9861111111111112,0.9796174349325808,1584
p0,linear_svm,1,26295,8765,gender,0.9019746121297603,0.8403416557161629,0.8700680272108844,1522
p0,linear_svm,2,26295,8765,gender,0.9023545706371191,0.8561103810775296,0.8786244099797708,1522
p0,linear_svm,3,26295,8765,gender,0.9011748445058743,0.8567674113009198,0.8784102391377568,1522
p0,linear_svm,4,26295,8765,gender,0.9033816425120773,0.8594878529218647,0.8808882907133243,1523
p0,linear_svm,1,26295,8765,not_cyberbullying,0.6857654431512982,0.606973058637084,0.6439680538041194,1262
p0,linear_svm,2,26295,8765,not_cyberbullying,0.6669588080631026,0.6025336500395883,0.6331114808652246,1263
p0,linear_svm,3,26295,8765,not_cyberbullying,0.6873889875666075,0.6128266033254157,0.6479698618668899,1263
p0,linear_svm,4,26295,8765,not_cyberbullying,0.6672443674176777,0.6096595407759303,0.6371534960695077,1263
p0,linear_svm,1,26295,8765,other_cyberbullying,0.6661665416354089,0.7344913151364765,0.6986624704956726,1209
p0,linear_svm,2,26295,8765,other_cyberbullying,0.6519721577726219,0.6972704714640199,0.6738609112709832,1209
p0,linear_svm,3,26295,8765,other_cyberbullying,0.6736111111111112,0.722682119205298,0.6972843450479234,1208
p0,linear_svm,4,26295,8765,other_cyberbullying,0.672,0.695364238410596,0.6834825061025224,1208
p0,linear_svm,1,26295,8765,religion,0.9360535931790499,0.9630325814536341,0.9493514515132798,1596
p0,linear_svm,2,26295,8765,religion,0.9312461632903621,0.9510971786833856,0.9410669975186104,1595
