representation,model,validation_fold,train_rows,validation_rows,label,precision,recall,f1,support
combined,logistic_regression_unweighted,3,26295,8765,ethnicity,0.9861023373341756,0.985479797979798,0.9857909693716451,1584
combined,logistic_regression_unweighted,4,26295,8765,ethnicity,0.9873577749683944,0.9861111111111112,0.9867340492735313,1584
combined,logistic_regression_unweighted,1,26295,8765,gender,0.9263759828448892,0.8515111695137977,0.8873673399520712,1522
combined,logistic_regression_unweighted,2,26295,8765,gender,0.9159074982480728,0.8587385019710907,0.8864021702271957,1522
combined,logistic_regression_unweighted,3,26295,8765,gender,0.9105191256830601,0.8758212877792378,0.8928332217012726,1522
combined,logistic_regression_unweighted,4,26295,8765,gender,0.9238975817923186,0.8529218647406435,0.8869921474906112,1523
combined,logistic_regression_unweighted,1,26295,8765,not_cyberbullying,0.6856455493183641,0.6774960380348652,0.6815464328417696,1262
combined,logistic_regression_unweighted,2,26295,8765,not_cyberbullying,0.6909090909090909,0.6619160728424386,0.6761019005256773,1263
combined,logistic_regression_unweighted,3,26295,8765,not_cyberbullying,0.7087214225232854,0.66270783847981,0.6849427168576104,1263
combined,logistic_regression_unweighted,4,26295,8765,not_cyberbullying,0.7037037037037037,0.6468725257323832,0.6740924092409241,1263
combined,logistic_regression_unweighted,1,26295,8765,other_cyberbullying,0.7070631970260223,0.7866004962779156,0.7447141738449491,1209
combined,logistic_regression_unweighted,2,26295,8765,other_cyberbullying,0.6900369003690037,0.7733664185277088,0.7293291731669267,1209
combined,logistic_regression_unweighted,3,26295,8765,other_cyberbullying,0.7060167555217061,0.7673841059602649,0.7354224514081713,1208
combined,logistic_regression_unweighted,4,26295,8765,other_cyberbullying,0.6870848708487085,0.7706953642384106,0.7264923917284433,1208
combined,logistic_regression_unweighted,1,26295,8765,religion,0.956386292834891,0.9617794486215538,0.9590752889721962,1596
combined,logistic_regression_unweighted,2,26295,8765,religion,0.9550063371356147,0.9448275862068966,0.9498896942956193,1595
combined,logistic_regression_unweighted,3,26295,8765,religion,0.9607476635514018,0.9667711598746082,0.96375,1595
combined,logistic_regression_unweighted,4,26295,8765,religion,0.9455782312925171,0.9586206896551724,0.952054794520548,1595
