representation,model,validation_fold,train_rows,validation_rows,true_label,predicted_label,count
combined,logistic_regression_balanced,3,26295,8765,not_cyberbullying,ethnicity,9
combined,logistic_regression_balanced,3,26295,8765,not_cyberbullying,gender,53
combined,logistic_regression_balanced,3,26295,8765,not_cyberbullying,not_cyberbullying,849
combined,logistic_regression_balanced,3,26295,8765,not_cyberbullying,other_cyberbullying,283
combined,logistic_regression_balanced,3,26295,8765,not_cyberbullying,religion,45
combined,logistic_regression_balanced,3,26295,8765,other_cyberbullying,age,20
combined,logistic_regression_balanced,3,26295,8765,other_cyberbullying,ethnicity,3
combined,logistic_regression_balanced,3,26295,8765,other_cyberbullying,gender,52
combined,logistic_regression_balanced,3,26295,8765,other_cyberbullying,not_cyberbullying,187
combined,logistic_regression_balanced,3,26295,8765,other_cyberbullying,other_cyberbullying,941
combined,logistic_regression_balanced,3,26295,8765,other_cyberbullying,religion,5
combined,logistic_regression_balanced,3,26295,8765,religion,age,1
combined,logistic_regression_balanced,3,26295,8765,religion,ethnicity,1
combined,logistic_regression_balanced,3,26295,8765,religion,gender,6
combined,logistic_regression_balanced,3,26295,8765,religion,not_cyberbullying,38
combined,logistic_regression_balanced,3,26295,8765,religion,other_cyberbullying,13
combined,logistic_regression_balanced,3,26295,8765,religion,religion,1536
combined,logistic_regression_balanced,4,26295,8765,age,age,1571
combined,logistic_regression_balanced,4,26295,8765,age,ethnicity,0
combined,logistic_regression_balanced,4,26295,8765,age,gender,1
combined,logistic_regression_balanced,4,26295,8765,age,not_cyberbullying,12
combined,logistic_regression_balanced,4,26295,8765,age,other_cyberbullying,8
combined,logistic_regression_balanced,4,26295,8765,age,religion,0
combined,logistic_regression_balanced,4,26295,8765,ethnicity,age,2
combined,logistic_regression_balanced,4,26295,8765,ethnicity,ethnicity,1562
combined,logistic_regression_balanced,4,26295,8765,ethnicity,gender,0
combined,logistic_regression_balanced,4,26295,8765,ethnicity,not_cyberbullying,5
combined,logistic_regression_balanced,4,26295,8765,ethnicity,other_cyberbullying,12
combined,logistic_regression_balanced,4,26295,8765,ethnicity,religion,3
combined,logistic_regression_balanced,4,26295,8765,gender,age,4
combined,logistic_regression_balanced,4,26295,8765,gender,ethnicity,2
combined,logistic_regression_balanced,4,26295,8765,gender,gender,1293
combined,logistic_regression_balanced,4,26295,8765,gender,not_cyberbullying,105
combined,logistic_regression_balanced,4,26295,8765,gender,other_cyberbullying,115
combined,logistic_regression_balanced,4,26295,8765,gender,religion,4
combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,age,40
combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,ethnicity,8
combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,gender,34
combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,not_cyberbullying,833
combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,other_cyberbullying,291
combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,religion,57
combined,logistic_regression_balanced,4,26295,8765,other_cyberbullying,age,15
combined,logistic_regression_balanced,4,26295,8765,other_cyberbullying,ethnicity,6
combined,logistic_regression_balanced,4,26295,8765,other_cyberbullying,gender,48
combined,logistic_regression_balanced,4,26295,8765,other_cyberbullying,not_cyberbullying,187
combined,logistic_regression_balanced,4,26295,8765,other_cyberbullying,other_cyberbullying,944
combined,logistic_regression_balanced,4,26295,8765,other_cyberbullying,religion,8
combined,logistic_regression_balanced,4,26295,8765,religion,age,2
combined,logistic_regression_balanced,4,26295,8765,religion,ethnicity,1
combined,logistic_regression_balanced,4,26295,8765,religion,gender,7
combined,logistic_regression_balanced,4,26295,8765,religion,not_cyberbullying,40
combined,logistic_regression_balanced,4,26295,8765,religion,other_cyberbullying,20
combined,logistic_regression_balanced,4,26295,8765,religion,religion,1525
combined,logistic_regression_random_oversampling,1,26295,8765,age,age,1547
combined,logistic_regression_random_oversampling,1,26295,8765,age,ethnicity,0
combined,logistic_regression_random_oversampling,1,26295,8765,age,gender,2
