representation,model,validation_fold,train_rows,validation_rows,macro_f1,balanced_accuracy,mcc,accuracy,log_loss,multiclass_brier
combined,logistic_regression_balanced,1,26295,8765,0.8725308200382361,0.872912006581664,0.8599315065245345,0.8831717056474615,0.34992155061062263,0.1741143868238758
combined,logistic_regression_balanced,2,26295,8765,0.8666842012986816,0.8671821406244193,0.8539106585468159,0.8781517398745009,0.35528253932966575,0.1770268991900728
combined,logistic_regression_balanced,3,26295,8765,0.8726846842196473,0.8731675172037413,0.8618097906176847,0.8848830576155162,0.33920696682814155,0.16986852414379644
combined,logistic_regression_balanced,4,26295,8765,0.8691886216921877,0.8698355017344062,0.8581613855465704,0.881688533941814,0.3481033120599362,0.17357468055353148
combined,logistic_regression_random_oversampling,1,26295,8765,0.8714380588443075,0.871743999010976,0.8588148986466357,0.8822589845978323,0.3480630113682671,0.17362738510583656
combined,logistic_regression_random_oversampling,2,26295,8765,0.8659040611598637,0.8663545286642226,0.8531545641217781,0.8775812892184826,0.35361633014315075,0.17687654887537532
combined,logistic_regression_random_oversampling,3,26295,8765,0.8725056064618766,0.8729414793822482,0.8617589821873198,0.8848830576155162,0.3368937753583985,0.16934117275775018
combined,logistic_regression_random_oversampling,4,26295,8765,0.8661742336669901,0.8668725704313629,0.8550884163890381,0.8791785510553337,0.34710627017092033,0.17368822411236454
combined,logistic_regression_unweighted,1,26295,8765,0.8709725613132963,0.871380719171452,0.8589527358602498,0.8824871648602396,0.3493890191564851,0.17375629025912956
combined,logistic_regression_unweighted,2,26295,8765,0.8660508886024735,0.8665327340886063,0.8538603807732912,0.8782658300057045,0.35517595228506904,0.17687335601845294
combined,logistic_regression_unweighted,3,26295,8765,0.8726607940118255,0.8732219663933285,0.8626474985847817,0.8856816885339418,0.33927384643802977,0.1696902573859936
combined,logistic_regression_unweighted,4,26295,8765,0.8664256130889024,0.8672144803518145,0.8557042393238171,0.879749001711352,0.34887016281103245,0.17351446961064204
