representation,model,label,precision_mean,recall_mean,f1_mean,support_total
combined,logistic_regression_balanced,age,0.9666595536613048,0.9778611947054797,0.9722076586248217,6369
combined,logistic_regression_balanced,ethnicity,0.9890458563454199,0.9829545454545454,0.9859872380082306,6336
combined,logistic_regression_balanced,gender,0.9288488484844372,0.8502219148699356,0.8877604808708331,6089
combined,logistic_regression_balanced,not_cyberbullying,0.6946780951921211,0.6723457970545315,0.6832025210283191,5051
combined,logistic_regression_balanced,other_cyberbullying,0.6898386855448253,0.7873367308650902,0.735336107545744,4834
combined,logistic_regression_balanced,religion,0.9604000320047901,0.9539255662667641,0.9571384847951804,6381
combined,logistic_regression_random_oversampling,age,0.9653455498577161,0.978646173428347,0.97192679652334,6369
combined,logistic_regression_random_oversampling,ethnicity,0.9887383357603704,0.9834280303030303,0.9860717289454914,6336
combined,logistic_regression_random_oversampling,gender,0.9273256146226859,0.851535651762765,0.8877608005685004,6089
combined,logistic_regression_random_oversampling,not_cyberbullying,0.6897771660497505,0.6689804794009182,0.6790663195723964,5051
combined,logistic_regression_random_oversampling,other_cyberbullying,0.6913718521456891,0.7805099995070087,0.7332056212828549,4834
combined,logistic_regression_random_oversampling,religion,0.9582770971310416,0.9537685318311453,0.9560016733069732,6381
combined,logistic_regression_unweighted,age,0.9628352032712297,0.979431349307744,0.9710407689197058,6369
combined,logistic_regression_unweighted,ethnicity,0.9871740283004725,0.9835858585858586,0.9853724399115444,6336
combined,logistic_regression_unweighted,gender,0.9191750471420852,0.8597482060011924,0.8883987198427876,6089
combined,logistic_regression_unweighted,not_cyberbullying,0.6972449416136111,0.6622481187723742,0.6791708648664954,5051
combined,logistic_regression_unweighted,other_cyberbullying,0.6975504309413602,0.7745115962510749,0.7339895475371225,4834
combined,logistic_regression_unweighted,religion,0.9544296312036061,0.9579997210895578,0.9561924444470908,6381
