representation,model,validation_fold,train_rows,validation_rows,elapsed_seconds,fitted_train_rows,feature_count,train_matrix_mib,validation_matrix_mib
combined,logistic_regression_balanced,1,26295,8765,24.727633083995897,26295,120000,78.69733810424805,25.781169891357422
combined,logistic_regression_balanced,2,26295,8765,24.68562683300115,26295,120000,78.58270263671875,25.891204833984375
combined,logistic_regression_balanced,3,26295,8765,23.72568691597553,26295,120000,78.53810501098633,25.93842315673828
combined,logistic_regression_balanced,4,26295,8765,24.659805540984962,26295,120000,78.58053970336914,25.893756866455078
combined,logistic_regression_random_oversampling,1,26295,8765,15.016338291985448,28710,120000,78.69733810424805,25.781169891357422
combined,logistic_regression_random_oversampling,2,26295,8765,15.836589417012874,28716,120000,78.58270263671875,25.891204833984375
combined,logistic_regression_random_oversampling,3,26295,8765,15.094996416999493,28716,120000,78.53810501098633,25.93842315673828
combined,logistic_regression_random_oversampling,4,26295,8765,15.185525208013132,28716,120000,78.58053970336914,25.893756866455078
combined,logistic_regression_unweighted,1,26295,8765,23.639989708026405,26295,120000,78.69733810424805,25.781169891357422
combined,logistic_regression_unweighted,2,26295,8765,22.723144875024445,26295,120000,78.58270263671875,25.891204833984375
combined,logistic_regression_unweighted,3,26295,8765,25.31832437502453,26295,120000,78.53810501098633,25.93842315673828
combined,logistic_regression_unweighted,4,26295,8765,23.6369871670031,26295,120000,78.58053970336914,25.893756866455078
