representation,model,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std
combined,logistic_regression,0.8690274642541245,0.0032971765595108597,0.8695874750013003,0.0032345941519086392,0.857791213635535,0.0038617589323801226
character,logistic_regression,0.8670950361895029,0.0012796571138553006,0.8675996254401639,0.0012047105831752341,0.85538647762275,0.002013325628090635
combined,linear_svm,0.8658862744450806,0.0035615738327585723,0.8665373724666648,0.00341409932805746,0.8553570313794555,0.0032899977598886965
character,linear_svm,0.8647503737672755,0.0028158643173451727,0.8652877664149085,0.002716413196437787,0.8540027888363391,0.002663908108501059
word,linear_svm,0.8511692094327261,0.004476018448683721,0.8521474737615656,0.004375344119211466,0.8401362011257603,0.004697888471342127
word,logistic_regression,0.8501455732910839,0.005028282538175928,0.851135289323718,0.004902562833759196,0.8380180116927509,0.005563856582572324
