representation,model,validation_fold,train_rows,validation_rows,label,precision,recall,f1,support
character,linear_svm,1,26295,8765,age,0.9557739557739557,0.9773869346733668,0.9664596273291925,1592
character,linear_svm,2,26295,8765,age,0.9574336829117829,0.9748743718592965,0.9660753190164955,1592
character,linear_svm,3,26295,8765,age,0.9613259668508287,0.9830508474576272,0.9720670391061452,1593
character,linear_svm,4,26295,8765,age,0.9557038834951457,0.989321608040201,0.9722222222222222,1592
character,linear_svm,1,26295,8765,ethnicity,0.9835651074589128,0.9823232323232324,0.9829437776373974,1584
character,linear_svm,2,26295,8765,ethnicity,0.9798615481434865,0.9829545454545454,0.9814056098329657,1584
character,linear_svm,3,26295,8765,ethnicity,0.9817953546767106,0.9873737373737373,0.9845766446333019,1584
character,linear_svm,4,26295,8765,ethnicity,0.9817839195979899,0.9867424242424242,0.9842569269521411,1584
character,linear_svm,1,26295,8765,gender,0.9155617585484996,0.8620236530880421,0.8879864636209814,1522
character,linear_svm,2,26295,8765,gender,0.9023728813559322,0.8745072273324573,0.8882215548882215,1522
character,linear_svm,3,26295,8765,gender,0.8941018766756033,0.8764783180026281,0.8852023888520238,1522
character,linear_svm,4,26295,8765,gender,0.9177040110650069,0.871306631648063,0.8939036712697878,1523
character,linear_svm,1,26295,8765,not_cyberbullying,0.6934426229508197,0.6703645007923931,0.6817082997582594,1262
character,linear_svm,2,26295,8765,not_cyberbullying,0.6883876357560568,0.6524148851939826,0.6699186991869919,1263
character,linear_svm,3,26295,8765,not_cyberbullying,0.6988879384088965,0.6468725257323832,0.671875,1263
character,linear_svm,4,26295,8765,not_cyberbullying,0.690846286701209,0.6334125098970704,0.6608839322593969,1263
character,linear_svm,1,26295,8765,other_cyberbullying,0.7094281298299846,0.7593052109181141,0.7335197762684779,1209
character,linear_svm,2,26295,8765,other_cyberbullying,0.6983758700696056,0.7468982630272953,0.7218225419664268,1209
character,linear_svm,3,26295,8765,other_cyberbullying,0.7023809523809523,0.7326158940397351,0.7171799027552674,1208
character,linear_svm,4,26295,8765,other_cyberbullying,0.6803966437833715,0.7384105960264901,0.7082175466454942,1208
character,linear_svm,1,26295,8765,religion,0.9546019900497512,0.9617794486215538,0.9581772784019975,1596
character,linear_svm,2,26295,8765,religion,0.9553459119496855,0.9523510971786834,0.9538461538461539,1595
character,linear_svm,3,26295,8765,religion,0.9519112207151664,0.9680250783699059,0.9599005284426484,1595
character,linear_svm,4,26295,8765,religion,0.9472049689440993,0.9561128526645768,0.9516380655226209,1595
character,logistic_regression,1,26295,8765,age,0.9626865671641791,0.9723618090452262,0.9675,1592
character,logistic_regression,2,26295,8765,age,0.9645301804604853,0.9736180904522613,0.9690528290090653,1592
character,logistic_regression,3,26295,8765,age,0.9588957055214724,0.9811676082862524,0.9699038163201986,1593
character,logistic_regression,4,26295,8765,age,0.9567863664029215,0.9874371859296482,0.971870170015456,1592
character,logistic_regression,1,26295,8765,ethnicity,0.9897632757517595,0.9766414141414141,0.9831585637114713,1584
character,logistic_regression,2,26295,8765,ethnicity,0.9847908745247148,0.9810606060606061,0.9829222011385199,1584
character,logistic_regression,3,26295,8765,ethnicity,0.9848389134554643,0.9842171717171717,0.9845279444269024,1584
character,logistic_regression,4,26295,8765,ethnicity,0.9886148007590133,0.9867424242424242,0.9876777251184834,1584
character,logistic_regression,1,26295,8765,gender,0.9244060475161987,0.8436268068331143,0.8821710752318791,1522
character,logistic_regression,2,26295,8765,gender,0.9201413427561838,0.8554533508541393,0.8866189989785496,1522
character,logistic_regression,3,26295,8765,gender,0.9144050104384134,0.8633377135348226,0.8881378844204123,1522
character,logistic_regression,4,26295,8765,gender,0.9296482412060302,0.8502954694681549,0.8882030178326474,1523
character,logistic_regression,1,26295,8765,not_cyberbullying,0.6785714285714286,0.6774960380348652,0.6780333068992863,1262
character,logistic_regression,2,26295,8765,not_cyberbullying,0.6872427983539094,0.6611243072050673,0.6739305891848265,1263
character,logistic_regression,3,26295,8765,not_cyberbullying,0.6952224052718287,0.6682501979414094,0.6814695195801372,1263
character,logistic_regression,4,26295,8765,not_cyberbullying,0.6995708154506438,0.6452889944576405,0.671334431630972,1263
character,logistic_regression,1,26295,8765,other_cyberbullying,0.6993268511593119,0.7733664185277088,0.7344854673998429,1209
